,,,,,,,,,,,Bay 50th Street,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,6409806,7510130,8415856,8475461,10291840,,11299257,13224331,14741907,,CULVER LINE,6235840,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,477275,499944,400301,263961,,2658141,2849958,2892594,2009745,,Ft. Hamilton P'kway,327665,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,2059500,2117697,2157335,2575419,2752333,2215390,2179522,2164642,2109178,,9th Avenue,1502001,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,1529242,1702043,1887291,2095663,2242042,2215390,2179522,2164642,2109178,,McDonald Avenue,1240510,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,858433,1032620,,,757138,1769310,614931,947475,1015245,,Church Avenue,701571,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,516673,543832,673228,728826,,,111973,,,,Avenue I,452810,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,195149,238928,216160,226448,225738,914025,630954,1022676,1187667,,22nd Avenue (Bay P'kway),197107,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,331020,336566,406366,306592,845607,498538,621807,743537,860546,,Avenue N,268090,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,106134,154162,192024,,,297733,367390,422061,492961,,Avenue P,106810,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,203702,194313,237700,403969,,388014,426560,471719,523233,,Kings Highway,127680,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,95176,90177,95178,132410,335820,,335473,392142,451505,,Avenue U,80596,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,23345,84503,102714,133541,171112,256506,338475,,,,Avenue X,73740,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,109085,261812,333850,,,,,,,,Van Sicklen Avenue (from 8/1/20),100601,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,14TH ST.-EASTERN N.L.,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,3196,18260081,,28597379,33217659,40145076,,Jamaica 1,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,1918,3225130,3589565,3739302,4024594,,3d Avenue (from 6/30/24),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,1057,2419050,3225130,3589565,3739302,4024594,,1st Avenue (from 6/30/24),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,1149,2946628,3884615,2795281,2701306,3851621,,Bedford Avenue (from 6/30/24),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,1094,1845806,2721872,2145158,2365679,2296696,,Lorimer Street (from 6/30/24),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,Graham Avenue (from 6/30/24),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,1000,2085787,2718203,3004021,3163274,2229988,,Grand Street (from 6/30/24),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,1375355,,Montrose Ave. (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,Morgan Ave. (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,1868127,,Jefferson Street (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,De Kalb Ave. (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,1456224,,Myrtle Avenue (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,984445,,Halsey Street (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,Wilson Ave. (from 7/14/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,803977,,Bushwick Avenue (from 7/11/26),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,Broadway Junction (from 7/14/26),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,633653,4181059,8506423,7040875,7340711,7340770,7708869,,ASTORIA LINE,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,62553,425837,530653,732046,731575,723886,790466,,Beebe Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,184927,923615,1205271,1477643,1499217,1873043,1881904,,Washington Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,184927,923615,1205271,1477643,1499217,1873043,1881904,,Broadway Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,108196,684389,904969,1116084,1154093,1221762,1287103,,Grand Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,143131,888588,1456805,1844203,1929276,1964671,2047263,,Hoyt Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,8706753,9175115,,,,Ditmars Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,,,FLUSHING LINE,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,104932,610194,659555,827830,904267,744269,705935,,Beebe Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,24652,111783,138576,,,,,,Lowery Street (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,43829,160550,289556,412187,127086,453705,527184,,Bliss Street (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,398718,606772,592036,611404,885376,,Woodside (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,61818,314647,398718,606772,592036,611404,885376,,61st Street (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,55072,285165,284423,437406,475393,,,,Broadway (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,76531,391832,416759,664717,732700,709071,821792,,25th St. (Jackson Hts.) (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,211870,1253997,1965204,,,1949589,1994581,,Junction Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,103888,1433176,1742480,1936029,1916025,1792107,1562071,,Alburts Avenue (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,841841,,111th Street (from 4/8/23),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,743705,,,Willets Pt. Blvd. (from 1/21/28),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,,,,,,,,,2045420,,Main St.-Flushing (from 1/21/28),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,205651027,229450577,251458229,292816845,336761610,362182749,387822298,397794550,420710635,,"Total, City-owned Lines",184591976,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
