Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,28th Street,6581654,6469974,5869489,5466786,5133404,3926515,,9680188,9655696,9187878,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,23rd Street,9590206,9791990,9100856,7994596,9597405,9668166,,34371969,38801760,10084098,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,22nd Street,25915646,25948738,24930378,24041466,24549689,,6336917,5945651,5561857,8640573,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Union Square,7989485,7758790,7243991,6827198,6521372,3876695,,3873861,3435527,5564573,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,8th Street,4435506,4316999,3762027,4327198,4212310,4201655,4164251,,,3643856,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Prince Street,5695957,5281806,4831903,4335803,4101818,,4662983,4364652,4147908,4185644,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Canal Street,7854229,7271738,6435584,6088284,5701967,4717491,9870874,9564551,9401764,9108482,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,City Hall,10750040,10474413,12376354,10705757,10021638,9610069,,,,2616784,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Cortlandt Street,6445795,5332970,3595911,3209717,3187105,3197060,4429809,4465903,4376847,4370609,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Rector Street,3591769,6707485,6298109,5589178,5408855,4367060,,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Whitehall Street,7088428,7580466,8114058,4688427,4803853,8822765,,13287861,16844487,16140840,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,CANAL STREET-BROADWAY STATION,24353914,21160818,25079965,23155681,22516514,,8421594,7909128,8762067,6870728,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,CENTRE STREET LOOP,12611217,11317966,10478041,,,9040254,,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Essex Street,4033341,4146865,4628374,4130058,3907518,3840073,3724006,1977162,1712160,6121194,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Bowery,2600100,2295940,2278256,2113940,2044459,6624734,6560036,6131800,5840016,5064418,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Canal Street,18079286,13043218,12153560,11282630,6944445,,,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Chambers Street,,,8469863,8885880,8476721,8419067,9565888,5411162,4037865,4457761,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,NASSAU STREET LOOP,,418483,4919168,5021304,4168168,4339638,4460234,4240231,3916964,3807077,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Broad Street,,793609,2536480,2807980,,,,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Fulton Street,10818047,9809860,8580005,8808961,8228748,9190518,8527078,5814302,4628555,4397724,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,MONTAGUE STREET TUNNEL CONN.,6794841,6479354,9230606,5949756,3412803,3383458,2479753,3445294,2161155,3125314,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Court Street,3411891,3737629,3827608,3264910,3549600,,,4166167,9068938,9954616,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Lawrence Street,4111864,4884330,3503871,4807467,4564990,4886881,4638567,3654208,2883967,2279856,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,FLATBUSH AVENUE CONN. (a),3659684,3604759,4422888,4449800,3722836,1684142,1682402,1611959,1688869,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Atlantic Avenue,4159180,4563571,4531483,3650407,1633355,,,63376216,63472016,60096181,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Seventh Avenue,69869786,64083006,69691179,64881400,65145145,,1926890,1806373,1707355,1688861,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,FOURTH AVENUE LINE (BROOKLYN),2981044,2941051,2542973,2633575,10927278,10486048,10723173,10125620,9221527,8777025,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Myrtle Avenue (Gold Street),11260180,11665899,11855403,11811787,,,,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,De Kalb Avenue,9553132,9166088,8504961,7354020,7127095,7148029,1871803,1847161,1750201,1704831,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,9th Street,2341840,2168655,1999566,1910908,2662064,2529835,2566312,3475267,2826724,2790128,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Union Street,3003075,2778609,2126431,2063105,2102126,,,1921727,1325724,1795246,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,9th Street,2659752,2485428,2431088,2249234,,1077728,1166918,1157014,1132859,1132421,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Prospect Avenue,1829652,1285787,1732741,1459874,3500625,2615912,3726718,3808239,2622329,2616160,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,25th Street,1239170,4026490,3793854,,,,,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,36th Street,3062645,2921133,2662266,2421948,2519960,2631672,3755655,3786448,2617019,2688541,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,45th Street,3553000,3133882,2384670,3047386,4198931,2969749,4093698,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,53rd Street,4922655,4026973,4417379,4098484,4075335,,,3359259,3565565,3544390,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,59th Street,4993731,4587505,3997908,4445861,3557421,3425731,3492769,3473553,3864130,3278690,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Bay Ridge Avenue,3786202,4014233,3596553,3419000,3606262,,2555189,,,,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,77th Street,3901600,3815046,3527191,3429000,3605954,2679892,,2716111,2676068,2638532,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,86th Street,2455062,2677625,2461434,2355880,,,87793891,77713470,26679826,86718054,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
